Event.ID,UTC.Offset,Start.DateTime.UTC,End.DateTime.UTC,Start.DateTime.Local,End.DateTime.Local,Start.Date.Local,Start.Time.Local,Event.Duration,eventType,comment,SRKW,Transient,Uncertain 
1790,7:00,2019-09-26 18:38,2019-09-26 18:38,2019-09-26 11:38,2019-09-26 11:38,9-26-19,11:38:59,0:00:00, Killer Whale, Unknown - likely Transient - only short click bout,0,1,1
1804,7:00,2019-09-27 10:02,2019-09-27 10:23,2019-09-27 3:02,2019-09-27 3:23,9-27-19,3:02:49,0:20:13, Killer Whale, Likely Transient - most calls faint,0,1,1
1852,7:00,2019-09-30 6:46,2019-09-30 6:51,2019-09-29 23:46,2019-09-29 23:51,9-29-19,23:46:41,0:05:14, Killer Whale, Transient - only a few calls,0,1,1
1859,7:00,2019-09-30 20:06,2019-09-30 21:50,2019-09-30 13:06,2019-09-30 14:50,9-30-19,13:06:04,1:44:07, Killer Whale, SRKW,1,0,0
1941,7:00,2019-10-04 9:04,2019-10-04 9:05,2019-10-04 2:04,2019-10-04 2:05,10-4-19,2:04:54,0:00:24, Killer Whale, Unk - EC Only,0,0,1
2122,7:00,2019-10-15 14:45,2019-10-15 14:47,2019-10-15 7:45,2019-10-15 7:47,10-15-19,7:45:51,0:01:56, Killer Whale, prob Transient- only 1 call bout,0,1,1
2125,7:00,2019-10-16 1:08,2019-10-16 1:14,2019-10-15 18:08,2019-10-15 18:14,10-15-19,18:08:46,0:06:03, Killer Whale, SRKW,1,0,0
18,7:00,2020-07-01 15:34,2020-07-01 16:04,2020-07-01 8:34,2020-07-01 9:04,2020-07-01,8:34:06,0:30:15, Killer Whale,SRKW,1,0,0
17,7:00,2020-07-01 20:50,2020-07-01 20:54,2020-07-01 13:50,2020-07-01 13:54,2020-07-01,13:50:16,0:04:01, Killer Whale,Unknown,0,0,0
39,7:00,2020-07-02 22:48,2020-07-02 23:21,2020-07-02 15:48,2020-07-02 16:21,2020-07-02,15:48:22,0:33:36, Killer Whale,Transient,0,1,0
